date,Open,High,Low,Close,Adj Close,Volume,gme_percentage_change
2020-12-15,12.78,14.02,12.48,13.85,13.85,8192900,0.0
2020-12-16,13.96,14.31,13.58,13.85,13.85,5865100,0.07075812274368234
2020-12-17,13.96,14.98,13.59,14.83,14.83,8194900,0.0539447066756575
2020-12-18,15.78,16.299999,15.18,15.63,15.63,16618800,-0.006397952655150443
2020-12-21,15.81,16.35,15.28,15.53,15.53,9876100,0.2530585318737927
2020-12-22,16.219998999999998,20.040001,16.15,19.459999,19.459999,30652700,0.057040136538547635
2020-12-23,20.17,22.35,19.129998999999998,20.57,20.57,25830300,-0.020418084589207665
2020-12-24,21.01,21.48,19.950001,20.15,20.15,6262200,0.04168734491315136
2020-12-28,21.309998999999998,21.969998999999998,20.35,20.99,20.99,8965900,-0.07670323963792285
2020-12-29,20.82,21.07,18.559998999999998,19.379998999999998,19.379998999999998,9241400,-0.006191899184308339
2020-12-30,19.379998999999998,20.0,18.85,19.26,19.26,5934400,-0.021806853582554603
2020-12-31,19.25,19.799999,18.799999,18.84,18.84,6922700,-0.08439490445859872
2021-01-04,19.0,19.1,17.15,17.25,17.25,10022500,0.006956579710145044
2021-01-05,17.35,18.08,17.23,17.370001000000002,17.370001000000002,4961500,0.05699481537162827
2021-01-06,17.34,18.98,17.33,18.360001,18.360001,6056200,-0.015250598297897813
2021-01-07,18.469998999999998,19.450001,18.02,18.08,18.08,6129300,-0.021570741150442257
2021-01-08,18.18,18.299999,17.08,17.690001000000002,17.690001000000002,6482000,0.1271904959191353
2021-01-11,19.41,20.65,19.01,19.940001000000002,19.940001000000002,14927600,0.0005015044883898455
2021-01-12,19.959999,20.4,19.32,19.950001,19.950001,7060700,0.5739347581987589
2021-01-13,20.42,38.650002,20.030001000000002,31.4,31.4,144501700,0.2710191082802547
2021-01-14,38.09,43.060001,33.049999,39.91,39.91,93717400,-0.11049862189927329
2021-01-15,38.490002000000004,40.75,34.009997999999996,35.5,35.5,46866400,0.10873242253521138
2021-01-19,41.549999,45.52,36.639998999999996,39.360001000000004,39.360001000000004,74721900,-0.006097611633698994
2021-01-20,37.369999,41.189999,36.060001,39.119999,39.119999,33471800,0.09994887781055405
2021-01-21,39.23,44.75,37.0,43.029999,43.029999,57079800,0.5108064957194167
2021-01-22,42.59,76.760002,42.32,65.010002,65.010002,197157900,0.18120287090592618
2021-01-25,96.730003,159.179993,61.130001,76.790001,76.790001,177874000,0.9270737605537991
2021-01-26,88.559998,150.0,80.199997,147.979996,147.979996,178588000,1.3483580172552514
2021-01-27,354.829987,380.0,249.0,347.51001,347.51001,93396700,-0.44289372844252745
2021-01-28,265.0,483.0,112.25,193.600006,193.600006,58815800,0.6787189562380488
2021-01-29,379.709991,413.980011,250.0,325.0,325.0,50259200,-0.3076923076923077
2021-02-01,316.559998,322.0,212.0,225.0,225.0,37382200,-0.6
2021-02-02,140.759995,158.0,74.220001,90.0,90.0,78183100,0.02677782222222223
2021-02-03,112.010002,113.400002,85.25,92.410004,92.410004,42698500,-0.4210583520805821
2021-02-04,91.190002,91.5,53.330002,53.5,53.5,62427300,0.19196261682242996
2021-02-05,54.040001000000004,95.0,51.09,63.77,63.77,80886300,-0.05911870785635884
2021-02-08,72.410004,72.660004,58.02,60.0,60.0,25687300,-0.16149998333333335
2021-02-09,56.610001000000004,57.0,46.52,50.310001,50.310001,26843100,0.017690319664275114
2021-02-10,50.77,62.830002,46.549999,51.200001,51.200001,36455000,-0.0019531835556019024
2021-02-11,50.009997999999996,55.32,48.220001,51.099998,51.099998,12997400,0.025440392385142584
2021-02-12,50.75,55.240002000000004,48.049999,52.400002,52.400002,14498000,-0.0551527459865365
2021-02-16,52.66,53.5,49.040001000000004,49.509997999999996,49.509997999999996,8175000,-0.0721066278370683
2021-02-17,49.77,51.189999,44.560001,45.939999,45.939999,9186800,-0.11427949748105132
2021-02-18,48.490002000000004,48.869999,40.650002,40.689999,40.689999,23990600,-0.002457581775806798
2021-02-19,41.279999,43.889998999999996,38.5,40.59,40.59,14828200,0.1332840601133283
2021-02-22,46.689999,48.509997999999996,42.400002,46.0,46.0,19476000,-0.02239128260869558
2021-02-23,44.970001,46.23,40.0,44.970001,44.970001,7565200,1.039359505462319
2021-02-24,44.700001,91.709999,44.700001,91.709999,91.709999,83111700,0.18558504182297506
2021-02-25,169.559998,184.679993,101.0,108.730003,108.730003,150308800,-0.06428772930319883
2021-02-26,117.459999,142.899994,86.0,101.739998,101.739998,91963000,0.18340873173596878
2021-03-01,104.540001,133.990005,99.970001,120.400002,120.400002,49597300,-0.018438554510987415
2021-03-02,116.93,133.199997,112.199997,118.18,118.18,33640400,0.050770011846336095
2021-03-03,122.510002,127.75,113.120003,124.18,124.18,19173700,0.06579164116604928
2021-03-04,125.0,147.869995,115.300003,132.350006,132.350006,32473600,0.04072534005023006
2021-03-05,128.169998,151.529999,127.5,137.740005,137.740005,30660200,0.41208068055464353
2021-03-08,154.889999,210.86999500000002,146.100006,194.5,194.5,63424800,0.2694087095115681
2021-03-09,217.710007,249.850006,208.509995,246.899994,246.899994,38725800,0.07330905807960453
2021-03-10,269.429993,348.5,172.0,265.0,265.0,71361900,-0.018867924528301886
2021-03-11,241.63999900000002,281.5,232.600006,260.0,260.0,28186000,0.01730769230769231
2021-03-12,275.0,295.5,262.269989,264.5,264.5,25760700,-0.1677126691871455
2021-03-15,277.519989,283.0,206.0,220.13999900000002,220.13999900000002,24100400,-0.05437449375113345
2021-03-16,203.16000400000001,220.69999700000002,172.350006,208.169998,208.169998,35241900,0.007878176566058355
2021-03-17,217.83999599999999,231.47000099999997,204.0,209.809998,209.809998,16259300,-0.038415700285169475
2021-03-18,214.0,218.88000499999998,195.649994,201.75,201.75,11764900,-0.0073357918215613376
2021-03-19,195.729996,227.0,182.66000400000001,200.270004,200.270004,24552100,-0.0288610320295395
2021-03-22,205.259995,210.36000099999998,186.199997,194.490005,194.490005,10061500,-0.06550467721978821
2021-03-23,197.5,201.75,177.550003,181.75,181.75,14429100,-0.33788172764786795
2021-03-24,157.979996,166.970001,118.620003,120.339996,120.339996,24177900,0.526923766891267
2021-03-25,123.489998,187.5,116.900002,183.75,183.75,50962300,-0.014965986394557823
2021-03-26,197.679993,218.92999300000002,163.259995,181.0,181.0,37371900,0.0016574751381215678
2021-03-29,180.75,193.919998,173.509995,181.300003,181.300003,10042200,0.07258689344864498
2021-03-30,187.5,204.300003,182.0,194.46000700000002,194.46000700000002,17094900,-0.023860947408070463
2021-03-31,197.5,199.46000700000002,187.110001,189.820007,189.820007,8393800,0.00858702950105777
2021-04-01,193.360001,196.970001,183.600006,191.449997,191.449997,9334300,-0.02350483191702531
2021-04-05,171.0,195.0,164.809998,186.949997,186.949997,14070500,-0.01310509248095894
2021-04-06,185.21000700000002,192.0,183.559998,184.5,184.5,6218300,-0.035392948509485114
2021-04-07,183.220001,184.5,176.110001,177.970001,177.970001,4768300,-0.04332194165689752
2021-04-08,185.880005,185.880005,164.300003,170.259995,170.259995,10047400,-0.06989307147577441
